Id,latitude,longitude,# Result
1,55.75591,173.639309,46.179375
2,59.452707,173.415922,46.172775
3,59.283112,169.492621,46.161373
4,56.481197,169.687955,46.182636
5,54.592204,170.327985,46.225876
6,49.681185,171.263093,46.294605
7,49.721779,174.129722,46.311077
8,46.936101,171.217377,46.30186
9,44.08006,171.198675,46.31369
10,43.98985,174.15258,46.315166
11,40.395893,168.770509,46.32036
12,38.302124,172.472501,46.321693
13,60.64528,136.646402,43.19855
14,37.691404,166.46079,46.324146
15,35.819551,168.993896,46.32612
16,28.549546,171.732726,46.33761
17,30.812909,170.063037,46.337357
18,34.110978,166.702879,46.32821
19,36.240831,164.563558,46.32404
20,38.860523,161.980579,46.31538
21,42.424711,164.89708,46.31481
22,44.743102,165.085141,46.312157
23,47.345654,165.365674,46.29748
24,49.853485,165.525681,46.286972
25,53.827226,165.634777,46.247498
26,56.521791,165.581788,46.171474
27,59.219064,165.51633,46.081924
28,64.049797,165.01241,45.790154
29,65.834146,158.402229,45.374153
30,63.140482,157.933636,45.171364
31,59.047665,157.930519,45.436874
32,59.157721,162.096949,46.002235
33,56.520889,161.993048,46.15095
34,61.187441,165.429053,45.97745
35,53.812792,161.869405,46.209248
36,51.032527,161.787324,46.25488
37,47.816549,161.570171,46.285667
38,44.716039,160.862605,46.301655
39,41.007515,158.562237,46.30516
40,42.633095,154.394768,46.29971
41,46.730423,156.79592,46.29299
42,49.010926,157.619855,46.277172
43,51.297744,157.725834,46.220543
44,53.884058,157.925324,45.871082
45,56.52991,157.914934,45.496975
46,58.898819,154.673223,45.154873
47,56.604784,154.585946,45.317207
48,53.917435,154.502825,45.31755
49,51.633324,153.927214,46.26149
50,48.554464,153.305886,46.289814
51,44.464354,150.807067,46.298805
52,46.107976,147.58302,43.932667
53,69.24588,159.149278,38.277588
54,50.198989,149.780526,43.935307
55,52.055506,150.114048,43.940296
56,54.05275,150.535886,43.94407
57,56.648085,150.461077,43.94488
58,58.822141,150.320811,43.96184
59,63.514853,150.304187,43.326485
60,63.339846,154.363598,44.348656
61,66.553118,155.858733,38.2778
62,71.364005,162.088636,38.277428
63,75.615591,156.206802,38.27686
64,70.149781,150.909929,38.263535
65,47.829178,144.250915,43.92696
66,51.632422,146.405822,43.926872
67,54.305337,147.157026,43.925964
68,56.599372,147.347165,43.923462
69,58.667882,147.426129,43.889664
70,49.839052,140.931279,43.91901
71,53.220114,142.668503,43.90764
72,56.674246,143.192164,43.8351
73,58.489267,143.265934,43.790222
74,58.556022,145.372007,43.740913
75,71.292739,157.0058,38.276913
76,63.534699,146.112821,42.73476
77,69.000509,146.143991,40.78898
78,69.55981,141.314673,42.314144
79,65.134118,140.556196,42.835278
80,60.625434,139.667843,43.17983
81,58.480246,139.900581,43.24317
82,54.618365,139.430948,43.26999
83,50.871051,138.213229,43.272747
84,51.121835,135.181398,43.27318
85,57.855092,165.569319,46.136852
86,56.206057,135.50453,43.271366
87,58.188868,135.428682,43.266663
88,51.514247,132.056056,43.273247
89,52.059114,165.613997,46.284084
90,55.093771,131.402519,43.271393
91,56.67154,130.466371,43.266277
92,53.060443,126.277084,43.2715
93,54.208813,123.710729,43.2698
94,67.265775,153.66954,38.27599
95,56.786106,125.05313,43.266846
96,59.434665,121.35945,43.249226
97,59.356182,126.34358,43.257515
98,59.109008,128.742654,43.25054
99,64.165265,121.774015,43.188347
100,61.520315,129.36606,43.19862
101,66.860733,122.991734,43.11411
102,70.717201,125.9872,43.054367
103,73.731109,133.42651,42.92519
104,65.752957,131.133416,43.075882
105,67.353279,132.186972,43.054035
106,73.74013,159.725928,38.277126
107,72.211977,149.379468,38.267193
108,75.289032,150.265743,38.271523
109,73.263823,154.261775,38.27459
110,69.627467,148.310327,38.21298
111,50.256723,157.716483,46.251762
112,52.324331,144.574047,43.920322
113,60.710231,133.073247,43.200996
114,71.383851,147.460417,0
