Id,latitude,longitude,# Result,Weight
1,55.75591,173.639309,46.179283,1
2,59.452707,173.415922,46.172684,1
3,59.283112,169.492621,46.161278,1
4,56.481197,169.687955,46.18254,1
5,54.592204,170.327985,46.225784,1
6,49.681185,171.263093,46.294506,1
7,49.721779,174.129722,46.31098,1
8,46.936101,171.217377,46.301765,1
9,44.08006,171.198675,46.313595,1
10,43.98985,174.15258,46.31507,1
11,40.395893,168.770509,46.32026,1
12,38.302124,172.472501,46.321594,1
13,60.64528,136.646402,43.198425,5
14,37.691404,166.46079,46.324047,1
15,35.819551,168.993896,46.326023,1
16,28.549546,171.732726,46.33751,1
17,30.812909,170.063037,46.337257,1
18,34.110978,166.702879,46.32811,1
19,36.240831,164.563558,46.32394,1
20,38.860523,161.980579,46.315285,1
21,42.424711,164.89708,46.314716,1
22,44.743102,165.085141,46.31206,1
23,47.345654,165.365674,46.297382,1
24,49.853485,165.525681,46.286873,1
25,53.827226,165.634777,46.2474,1
26,56.521791,165.581788,46.171383,1
27,59.219064,165.51633,46.081825,1
28,64.049797,165.01241,45.79005,1
29,65.834146,158.402229,45.374046,1
30,63.140482,157.933636,45.17126,1
31,59.047665,157.930519,45.436775,1
32,59.157721,162.096949,46.002136,1
33,56.520889,161.993048,46.150856,1
34,61.187441,165.429053,45.977356,1
35,53.812792,161.869405,46.20915,1
36,51.032527,161.787324,46.25478,1
37,47.816549,161.570171,46.28557,1
38,44.716039,160.862605,46.30156,1
39,41.007515,158.562237,46.30506,1
40,42.633095,154.394768,46.299614,1
41,46.730423,156.79592,46.292892,1
42,49.010926,157.619855,46.277073,1
43,51.297744,157.725834,46.220448,1
44,53.884058,157.925324,45.87098,1
45,56.52991,157.914934,45.496872,1
46,58.898819,154.673223,45.15477,1
47,56.604784,154.585946,45.317104,1
48,53.917435,154.502825,45.317448,1
49,51.633324,153.927214,46.26139,1
50,48.554464,153.305886,46.28972,1
51,44.464354,150.807067,46.298714,1
52,46.107976,147.58302,43.932552,5
53,69.24588,159.149278,38.277485,1
54,50.198989,149.780526,43.935196,5
55,52.055506,150.114048,43.940178,5
56,54.05275,150.535886,43.943954,5
57,56.648085,150.461077,43.944767,5
58,58.822141,150.320811,43.96173,5
59,63.514853,150.304187,43.326374,5
60,63.339846,154.363598,44.348553,1
61,66.553118,155.858733,38.2777,1
62,71.364005,162.088636,38.277325,1
63,75.615591,156.206802,38.276756,1
64,70.149781,150.909929,38.26343,1
65,47.829178,144.250915,43.92685,5
66,51.632422,146.405822,43.92676,5
67,54.305337,147.157026,43.925854,5
68,56.599372,147.347165,43.923347,5
69,58.667882,147.426129,43.889553,5
70,49.839052,140.931279,43.918896,5
71,53.220114,142.668503,43.907528,5
72,56.674246,143.192164,43.834988,5
73,58.489267,143.265934,43.79011,5
74,58.556022,145.372007,43.740795,5
75,71.292739,157.0058,38.27681,1
76,63.534699,146.112821,42.734646,1
77,69.000509,146.143991,40.788868,1
78,69.55981,141.314673,42.31403,1
79,65.134118,140.556196,42.835155,1
80,60.625434,139.667843,43.17971,5
81,58.480246,139.900581,43.24305,5
82,54.618365,139.430948,43.26987,5
83,50.871051,138.213229,43.27262,5
84,51.121835,135.181398,43.273052,5
85,57.855092,165.569319,46.136757,1
86,56.206057,135.50453,43.27124,5
87,58.188868,135.428682,43.266544,5
88,51.514247,132.056056,43.27312,5
89,52.059114,165.613997,46.283985,1
90,55.093771,131.402519,43.271267,5
91,56.67154,130.466371,43.26616,5
92,53.060443,126.277084,43.27137,5
93,54.208813,123.710729,43.26968,5
94,67.265775,153.66954,38.275887,1
95,56.786106,125.05313,43.266727,5
96,59.434665,121.35945,43.249104,5
97,59.356182,126.34358,43.2574,5
98,59.109008,128.742654,43.25042,5
99,64.165265,121.774015,43.18822,5
100,61.520315,129.36606,43.198494,5
101,66.860733,122.991734,43.113983,5
102,70.717201,125.9872,43.05424,5
103,73.731109,133.42651,42.925068,1
104,65.752957,131.133416,43.07576,5
105,67.353279,132.186972,43.05391,5
106,73.74013,159.725928,38.277023,1
107,72.211977,149.379468,38.26709,1
108,75.289032,150.265743,38.27142,1
109,73.263823,154.261775,38.27449,1
110,69.627467,148.310327,38.212875,1
111,50.256723,157.716483,46.251663,1
112,52.324331,144.574047,43.920208,5
113,60.710231,133.073247,43.20087,5
114,71.383851,147.460417,0,1
